date,weekday,korean_category,chinese_category,japanese_category,western_category,korean_sales,chinese_sales,japanese_sales,western_sales,total_sales,temperature,is_exam,is_festival,is_vacation
2022-01-01,5,설렁탕,짬뽕,미소라멘,치킨까스,0,0,0,0,0,0.914151239263294,0,0,1
2022-01-02,6,부대찌개,볶음밥,규동,까르보나라,0,0,0,0,0,-3.1199523187214866,0,0,1
2022-01-03,0,감자탕,짬뽕,미소라멘,까르보나라,51,44,53,39,187,2.251353587419372,0,0,1
2022-01-04,1,김치찌개,짜장면,라멘,까르보나라,71,76,84,60,291,2.8216941491736414,0,0,1
2022-01-05,2,불고기,마파두부덮밥,우동,오믈라이스,39,28,48,33,148,-5.853105565961509,0,0,1
2022-01-06,3,제육볶음,마파두부덮밥,우동,스테이크,103,72,122,107,404,-3.9065385205869534,0,0,1
2022-01-07,4,김치찌개,짬뽕,가츠동,치킨까스,81,77,74,74,306,0.3835212095018561,0,0,1
2022-01-08,5,설렁탕,고추잡채덮밥,가츠동,까르보나라,0,0,0,0,0,-0.9487277770307466,0,0,1
2022-01-09,6,순대국밥,짬뽕,우동,치킨까스,0,0,0,0,0,-0.0504034725128663,0,0,1
2022-01-10,0,김치찌개,짬뽕,가츠동,오믈라이스,83,68,65,57,273,-2.55913178272074,0,0,1
2022-01-11,1,설렁탕,볶음밥,우동,까르보나라,74,68,77,65,284,2.6381939245884856,0,0,1
2022-01-12,2,김치찌개,볶음밥,가츠동,까르보나라,73,64,67,61,265,2.333375806286845,0,0,1
2022-01-13,3,제육볶음,마파두부덮밥,가츠동,치킨까스,62,43,57,57,219,0.1980920926836481,0,0,1
2022-01-14,4,부대찌개,짬뽕,라멘,오믈라이스,53,48,60,41,202,3.381723620904099,0,0,1
2022-01-15,5,불고기,볶음밥,라멘,오믈라이스,0,0,0,0,0,1.4025280267561369,0,0,1
2022-01-16,6,돈까스,고추잡채덮밥,가츠동,오믈라이스,0,0,0,0,0,-2.5778773886497146,0,0,1
2022-01-17,0,부대찌개,짜장면,규동,치킨까스,69,71,63,60,263,1.1062523522474963,0,0,1
2022-01-18,1,순대국밥,짬뽕,냉모밀,오믈라이스,115,93,50,78,336,-2.8766478024869966,0,0,1
2022-01-19,2,제육볶음,마파두부덮밥,라멘,치킨까스,78,54,93,72,297,2.6353509039218177,0,0,1
2022-01-20,3,제육볶음,마파두부덮밥,미소라멘,알리오 올리오,72,50,96,49,267,-0.1497777329587586,0,0,1
2022-01-21,4,김치찌개,마파두부덮밥,우동,알리오 올리오,33,19,32,19,103,-0.5545870906357817,0,0,1
2022-01-22,5,부대찌개,볶음밥,우동,스테이크,0,0,0,0,0,-2.042788633211824,0,0,1
2022-01-23,6,감자탕,볶음밥,라멘,치킨까스,0,0,0,0,0,3.6676240160220903,0,0,1
2022-01-24,0,김치찌개,볶음밥,우동,치킨까스,81,60,81,63,285,-0.4635884462064065,0,0,1
2022-01-25,1,돈까스,짜장면,우동,오믈라이스,52,59,64,44,219,-1.2849834664893216,0,0,1
2022-01-26,2,제육볶음,마파두부덮밥,우동,알리오 올리오,92,64,109,63,328,-1.0564006514646889,0,0,1
